id,name,rate,photo_url,text,review_url,created_at,updated_at
2,Brittany S.,5,https://storage.googleapis.com/honest-moving-static/reviews/brittany_s_avatar.jpg,"This was truly a 5 star service. I found this business via Yelp Projects. I saw they had great reviews.

Noel was super helpful on Yelp giving me the quote and on the phone when we set it up. I got updates through the process. I also loved that for no additional fee they brought wardrobe boxes for me to pack my clothes. You have to commit to the rate for at least 3 hours and they give discounts if you pay in cash.

On moving day, our movers Paul and Anthony showed up within the arrival window. Both of them were very friendly and didn't really want me lifting a finger through the process-- which I loved. They made sure to wrap up all of my furniture so it wouldn't get damaged. They brought it all to my place safely and headache-free- which is exactly what you want in your move.

Thank you to the team at Honest Moving & Storage! I would recommend and use their services again for another move.",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=lE-Yu1LB6Ah621XhIBpwtw&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 13:24:53.524327,2025-12-27 13:24:53.524327
3,Lance L.,5,https://storage.googleapis.com/honest-moving-static/reviews/lance_l_avatar.png,"Viktor and his crew (Ben and Slava) did an amazing job of moving all of our stuff almost 3 hours north of where we had been. They worked tirelessly non-stop, were very detail oriented and very respectful and were willing to accommodate any special requests without a problem.

Once we arrived at our new home (after an already really long day), we realized their truck wouldn't be able to fit down our long driveway to the house due to some low hanging branches and telephone lines, so we had to scramble. Viktor came up with the idea to use my pickup truck as a shuttle to go back and forth between their moving truck and our house to speed up the process. While not ideal and having to make many many trips, his idea did end up saving us a lot of time which otherwise would've lasted all night.

Pricing was transparent from the very beginning and Viktor went over the final calculations very carefully with me at the end of the evening.

I felt badly afterwards that they all had to make the long drive back home so very late at night.

All in all it was a very positive experience and I would highly recommend them.",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=oX_rw7QqmBRkvuVvr50rbw&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 13:27:22.866231,2025-12-27 13:27:22.866231
8,Rifat M.,5,https://storage.googleapis.com/honest-moving-static/reviews/rifat_m_avatar.png,"Excellent; I used them twice and both time they were spot on; good value; very professional, on time. Would ask for them again. Highly recommend.",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=zBQfng0o0cV49OVjlIqPjA&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 13:37:09.575799,2025-12-27 13:37:09.575799
14,Darius D.,5,https://storage.googleapis.com/honest-moving-static/reviews/darius_d_avatar.jpg,"I worked with Viktor and the crew, they were terrific movers, and worked extra hard to protect our valuable items and furniture. I can't believe that they pulled a 13 hour shift and pay very close attention to detail the entire time. Totally unexpected and I would recommend them to others.",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=4mTHxL84gyG4jAoNBzE_CQ&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 13:57:48.797800,2025-12-27 13:57:48.797800
24,Mikael B.,5,https://storage.googleapis.com/honest-moving-static/reviews/mikael_b_avatar.jpg,"We recently had a 2-3 hour move (by travel distance), and Max and his team were AMAZING.

They were prompt (and even came a little early - we were concerned with starting ASAP due to typical Southern California traffic). Once we acquainted them with the situation, where boxes go etc. they were off and running like a very coordinated, well-oiled machine. They were very courteous, communicative, and fun to be around. Also adaptable to any potential challenges provided by tricky loading/unloading zone routes to our door and so forth.

The pricing was highly transparent and upfront with no surprises.",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=_yPXiTn-CVWHa-s3eWNC4A&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 14:15:49.594230,2025-12-27 14:15:49.594230
21,Peter I.,5,https://storage.googleapis.com/honest-moving-static/reviews/peter_i_avatar.jpg,"Very professional team, took excellent care of our belongings and made the move very easy. Would definitely use them again.",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=QLV9yQRHqWxjZT4uAtWmzA&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 14:10:33.539371,2025-12-27 14:10:33.539371
13,Sarah O.,5,https://storage.googleapis.com/honest-moving-static/reviews/sarah_o_avatar.jpg,"Having only moved twice in my life, I knew that we needed to hire movers and we used yelp to request services and got overwhelmed with many quotes from a dozen companies.

A lot of the companies sent me responses without a lot of details however, honest moving was one of the few that gave me all the details needed to make a decision without being overwhelming.

And when it came to the day of the move, I couldn't be happier with Vikter and team!!
They were truly amazing and even helped with last minute packing of the closets that we didn't get to.

He was very detailed in the beginning, walked us through the price breakdown one more time to make sure we understood everything and at the end we were moved into her new home and I don't think we could've done it without them! I highly recommend this company!",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=t9iMd44FEVWecLI2KHcEdQ&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 13:55:46.408491,2025-12-27 13:55:46.408491
20,Kathy H.,5,https://storage.googleapis.com/honest-moving-static/reviews/kathy_h_avatar.jpg,"We hired Honest to move a few large furniture items. Max and his team were on time, courteous and professional. They prepare all the items with padding and wraps. All the items arrived without a scratch. They were efficient and were able to finish the job within the proposed timeframe. We would highly recommend them.

Five stars!!!",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=QDRPr54eSknR8SDaCEDfqA&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 14:09:28.406195,2025-12-27 14:09:28.406195
4,Joshua W.,5,https://storage.googleapis.com/honest-moving-static/reviews/joshua_w_avatar.jpg,"I picked this company because they were local to me and because of the name. They were honest, their prices were fair, the movers were careful, courteous, and communicative. They didn't balk at any obstacles, and when we couldn't get the couch in the elevator it went down the stairs. I don't know how any moving company could have done any better on such a hot day.

Thanks for your help, I'd hire you again.",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=lw4IRwIgAgLY89IVeB2lyw&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 13:28:43.200972,2025-12-27 13:28:43.200972
23,Helen M.,5,https://storage.googleapis.com/honest-moving-static/reviews/helen_m_avatar.jpg,"This is my second time using Honest moving. I had to move my appointment to the next day due to unforeseen circumstances and they replied promptly and was able to accommodate. Victor and his team are very reliable and on time. They were very efficient with my move and clear with communication .

They were helpful even with my newly delivered furniture assembly. Everything went smoothly and made my move alot easier!",https://www.yelp.com/biz/honest-moving-and-storage-los-angeles-2?hrid=lBjLLPqheHxSJ4_xkhtnog&utm_campaign=www_review_share_popup&utm_medium=copy_link&utm_source=(direct),2025-12-27 14:14:20.107596,2025-12-27 14:14:20.107596
